Game ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
59,2009-10-04,Villarreal,Espanol,0,0,0,0,15,5,6,0,13,23,14,1,3,3,0,1
60,2009-10-04,Xerez,Malaga,1,1,0,0,6,18,3,4,14,22,4,8,3,2,0,1
61,2009-10-17,La Coruna,Sevilla,1,0,1,0,9,10,2,1,10,19,3,5,0,1,0,0
62,2009-10-17,Real Madrid,Valladolid,4,2,3,1,19,19,6,8,11,16,6,12,2,2,0,0
63,2009-10-17,Valencia,Barcelona,0,0,0,0,13,12,4,3,15,11,5,6,4,2,0,0
64,2009-10-18,Ath Bilbao,Sp Gijon,1,2,0,0,17,9,2,3,16,21,5,3,4,3,0,0
65,2009-10-18,Espanol,Tenerife,2,1,1,1,15,8,7,4,11,14,5,2,2,4,0,0
66,2009-10-18,Malaga,Almeria,1,2,0,2,16,18,5,7,23,18,6,3,4,3,0,0
67,2009-10-18,Mallorca,Getafe,3,1,1,0,14,14,8,4,26,24,7,5,3,3,0,0
68,2009-10-18,Osasuna,Ath Madrid,3,0,3,0,14,20,6,5,19,18,8,7,1,3,0,0
69,2009-10-18,Xerez,Villarreal,2,1,1,1,11,13,3,6,16,14,3,4,2,3,0,1
70,2009-10-18,Zaragoza,Santander,2,2,2,0,17,14,4,3,11,13,6,7,2,3,1,0
71,2009-10-24,Ath Madrid,Mallorca,1,1,0,0,25,8,6,2,15,25,11,3,0,3,0,2
72,2009-10-24,Sevilla,Espanol,0,0,0,0,28,8,8,1,13,19,11,0,2,5,0,1
73,2009-10-24,Sp Gijon,Real Madrid,0,0,0,0,10,13,2,5,20,10,3,7,2,4,0,0
74,2009-10-25,Almeria,Valencia,0,3,0,0,9,18,2,7,24,18,4,6,3,4,1,0
75,2009-10-25,Barcelona,Zaragoza,6,1,3,0,17,7,13,5,9,14,6,1,0,2,0,0
